hostname,count,time,rssi
ohashi01,0,2022-07-30 18:18:21,-61
ohashi01,3,2022-07-30 18:18:24,-59
ohashi01,6,2022-07-30 18:18:27,-56
ohashi01,9,2022-07-30 18:18:30,-58
ohashi01,12,2022-07-30 18:18:33,-59
ohashi01,15,2022-07-30 18:18:36,-58
ohashi01,18,2022-07-30 18:18:39,-58
ohashi01,21,2022-07-30 18:18:42,-58
ohashi01,27,2022-07-30 18:18:48,-70
ohashi01,30,2022-07-30 18:18:51,-57
ohashi01,36,2022-07-30 18:18:57,-62
ohashi01,351,2022-07-30 18:24:12,-74
ohashi01,354,2022-07-30 18:24:15,-72
ohashi01,357,2022-07-30 18:24:18,-59
ohashi01,360,2022-07-30 18:24:21,-60
ohashi01,363,2022-07-30 18:24:24,-61
ohashi01,366,2022-07-30 18:24:27,-73
ohashi01,369,2022-07-30 18:24:30,-74
ohashi01,372,2022-07-30 18:24:33,-60
ohashi01,381,2022-07-30 18:24:42,-73
ohashi01,384,2022-07-30 18:24:45,-74
ohashi01,387,2022-07-30 18:24:48,-59
ohashi01,390,2022-07-30 18:24:51,-58
ohashi01,393,2022-07-30 18:24:54,-58
ohashi01,402,2022-07-30 18:25:03,-73
ohashi01,405,2022-07-30 18:25:06,-72
ohashi01,408,2022-07-30 18:25:09,-59
ohashi01,411,2022-07-30 18:25:12,-60
ohashi01,417,2022-07-30 18:25:18,-71
ohashi01,420,2022-07-30 18:25:21,-72
ohashi01,423,2022-07-30 18:25:24,-72
ohashi01,426,2022-07-30 18:25:27,-59
ohashi01,429,2022-07-30 18:25:30,-58
ohashi01,432,2022-07-30 18:25:33,-59
ohashi01,435,2022-07-30 18:25:36,-58
ohashi01,438,2022-07-30 18:25:39,-62
ohashi01,447,2022-07-30 18:25:48,-66
ohashi01,450,2022-07-30 18:25:51,-69
ohashi01,453,2022-07-30 18:25:54,-58
ohashi01,456,2022-07-30 18:25:57,-62
ohashi01,459,2022-07-30 18:26:00,-57
ohashi01,468,2022-07-30 18:26:09,-60
ohashi01,474,2022-07-30 18:26:15,-58
ohashi01,477,2022-07-30 18:26:18,-67
ohashi01,480,2022-07-30 18:26:21,-54
ohashi01,492,2022-07-30 18:26:33,-61
ohashi01,495,2022-07-30 18:26:36,-63
ohashi01,504,2022-07-30 18:26:45,-51
ohashi01,507,2022-07-30 18:26:48,-46
ohashi01,510,2022-07-30 18:26:51,-46
ohashi01,513,2022-07-30 18:26:54,-64
ohashi01,516,2022-07-30 18:26:57,-63
ohashi01,519,2022-07-30 18:27:00,-61
ohashi01,528,2022-07-30 18:27:09,-50
ohashi01,531,2022-07-30 18:27:12,-49
ohashi01,534,2022-07-30 18:27:15,-47
ohashi01,540,2022-07-30 18:27:21,-63
ohashi01,546,2022-07-30 18:27:27,-50
ohashi01,549,2022-07-30 18:27:30,-47
ohashi01,552,2022-07-30 18:27:33,-47
ohashi01,555,2022-07-30 18:27:36,-47
ohashi01,558,2022-07-30 18:27:39,-61
ohashi01,570,2022-07-30 18:27:51,-50
ohashi01,573,2022-07-30 18:27:54,-47
ohashi01,576,2022-07-30 18:27:57,-48
ohashi01,579,2022-07-30 18:28:00,-60
ohashi01,585,2022-07-30 18:28:06,-50
ohashi01,588,2022-07-30 18:28:09,-51
ohashi01,591,2022-07-30 18:28:12,-47
ohashi01,594,2022-07-30 18:28:15,-61
ohashi01,600,2022-07-30 18:28:21,-49
ohashi01,603,2022-07-30 18:28:24,-47
ohashi01,606,2022-07-30 18:28:27,-46
ohashi01,609,2022-07-30 18:28:30,-60
ohashi01,612,2022-07-30 18:28:33,-60
ohashi01,615,2022-07-30 18:28:36,-50
ohashi01,618,2022-07-30 18:28:39,-46
ohashi01,621,2022-07-30 18:28:42,-60
ohashi01,624,2022-07-30 18:28:45,-51
ohashi01,627,2022-07-30 18:28:48,-50
ohashi01,630,2022-07-30 18:28:51,-51
ohashi01,633,2022-07-30 18:28:54,-48
