309,2022-07-30 15:16:00,-36,-59,リビング,2
312,2022-07-30 15:16:03,-84,-110,リビング,2
315,2022-07-30 15:16:06,-47,-110,リビング,2
318,2022-07-30 15:16:09,-32,-59,リビング,2
321,2022-07-30 15:16:12,-110,-110,圏外,0
324,2022-07-30 15:16:15,-85,-110,リビング,2
327,2022-07-30 15:16:18,-38,-58,リビング,2
330,2022-07-30 15:16:21,-49,-110,リビング,2
333,2022-07-30 15:16:24,-91,-110,リビング,2
336,2022-07-30 15:16:27,-83,-110,リビング,2
339,2022-07-30 15:16:30,-82,-55,玄関,1
342,2022-07-30 15:16:33,-95,-110,リビング,2
345,2022-07-30 15:16:36,-42,-110,リビング,2
348,2022-07-30 15:16:39,-33,-59,リビング,2
351,2022-07-30 15:16:42,-86,-110,リビング,2
354,2022-07-30 15:16:45,-86,-110,リビング,2
357,2022-07-30 15:16:48,-82,-110,リビング,2
360,2022-07-30 15:16:51,-110,-110,圏外,0
363,2022-07-30 15:16:54,-110,-110,圏外,0
366,2022-07-30 15:16:57,-96,-110,リビング,2
369,2022-07-30 15:17:00,-34,-58,リビング,2
372,2022-07-30 15:17:03,-85,-110,リビング,2
375,2022-07-30 15:17:06,-50,-110,リビング,2
378,2022-07-30 15:17:09,-35,-110,リビング,2
381,2022-07-30 15:17:12,-92,-110,リビング,2
384,2022-07-30 15:17:15,-93,-110,リビング,2
387,2022-07-30 15:17:18,-85,-110,リビング,2
390,2022-07-30 15:17:21,-36,-58,リビング,2
393,2022-07-30 15:17:24,-52,-55,リビング,2
396,2022-07-30 15:17:27,-55,-110,リビング,2
399,2022-07-30 15:17:30,-56,-110,リビング,2
402,2022-07-30 15:17:33,-84,-110,リビング,2
405,2022-07-30 15:17:36,-34,-59,リビング,2
408,2022-07-30 15:17:39,-34,-53,リビング,2
411,2022-07-30 15:17:42,-110,-110,圏外,0
414,2022-07-30 15:17:45,-94,-110,リビング,2
417,2022-07-30 15:17:48,-42,-110,リビング,2
420,2022-07-30 15:17:51,-34,-59,リビング,2
423,2022-07-30 15:17:54,-85,-110,リビング,2
426,2022-07-30 15:17:57,-83,-110,リビング,2
429,2022-07-30 15:18:00,-34,-60,リビング,2
432,2022-07-30 15:18:03,-110,-110,圏外,0
435,2022-07-30 15:18:06,-57,-110,リビング,2
438,2022-07-30 15:18:09,-42,-110,リビング,2
441,2022-07-30 15:18:12,-86,-110,リビング,2
444,2022-07-30 15:18:15,-83,-110,リビング,2
447,2022-07-30 15:18:18,-110,-110,圏外,0
450,2022-07-30 15:18:21,-43,-76,リビング,2
453,2022-07-30 15:18:24,-110,-110,圏外,0
456,2022-07-30 15:18:27,-86,-110,リビング,2
459,2022-07-30 15:18:30,-84,-110,リビング,2
462,2022-07-30 15:18:33,-110,-110,圏外,0
