hostname,count,time,rssi
ohashi01,0,2022-07-30 18:18:21,-54
ohashi01,3,2022-07-30 18:18:24,-52
ohashi01,6,2022-07-30 18:18:27,-52
ohashi01,9,2022-07-30 18:18:30,-53
ohashi01,12,2022-07-30 18:18:33,-53
ohashi01,15,2022-07-30 18:18:36,-58
ohashi01,18,2022-07-30 18:18:39,-54
ohashi01,21,2022-07-30 18:18:42,-69
ohashi01,27,2022-07-30 18:18:48,-60
ohashi01,30,2022-07-30 18:18:51,-60
ohashi01,33,2022-07-30 18:18:54,-54
ohashi01,36,2022-07-30 18:18:57,-57
ohashi01,345,2022-07-30 18:24:06,-55
ohashi01,354,2022-07-30 18:24:15,-61
ohashi01,357,2022-07-30 18:24:18,-65
ohashi01,360,2022-07-30 18:24:21,-65
ohashi01,366,2022-07-30 18:24:27,-57
ohashi01,369,2022-07-30 18:24:30,-57
ohashi01,372,2022-07-30 18:24:33,-60
ohashi01,375,2022-07-30 18:24:36,-61
ohashi01,378,2022-07-30 18:24:39,-65
ohashi01,381,2022-07-30 18:24:42,-67
ohashi01,387,2022-07-30 18:24:48,-56
ohashi01,390,2022-07-30 18:24:51,-57
ohashi01,396,2022-07-30 18:24:57,-60
ohashi01,399,2022-07-30 18:25:00,-65
ohashi01,402,2022-07-30 18:25:03,-67
ohashi01,405,2022-07-30 18:25:06,-66
ohashi01,414,2022-07-30 18:25:15,-56
ohashi01,417,2022-07-30 18:25:18,-56
ohashi01,420,2022-07-30 18:25:21,-61
ohashi01,423,2022-07-30 18:25:24,-67
ohashi01,426,2022-07-30 18:25:27,-69
ohashi01,432,2022-07-30 18:25:33,-63
ohashi01,435,2022-07-30 18:25:36,-56
ohashi01,438,2022-07-30 18:25:39,-73
ohashi01,441,2022-07-30 18:25:42,-79
ohashi01,447,2022-07-30 18:25:48,-53
ohashi01,450,2022-07-30 18:25:51,-50
ohashi01,453,2022-07-30 18:25:54,-52
ohashi01,456,2022-07-30 18:25:57,-57
ohashi01,459,2022-07-30 18:26:00,-62
ohashi01,462,2022-07-30 18:26:03,-50
ohashi01,465,2022-07-30 18:26:06,-53
ohashi01,468,2022-07-30 18:26:09,-59
ohashi01,471,2022-07-30 18:26:12,-60
ohashi01,477,2022-07-30 18:26:18,-55
ohashi01,483,2022-07-30 18:26:24,-54
ohashi01,486,2022-07-30 18:26:27,-60
ohashi01,489,2022-07-30 18:26:30,-63
ohashi01,498,2022-07-30 18:26:39,-60
ohashi01,501,2022-07-30 18:26:42,-61
ohashi01,504,2022-07-30 18:26:45,-65
ohashi01,507,2022-07-30 18:26:48,-53
ohashi01,510,2022-07-30 18:26:51,-53
ohashi01,519,2022-07-30 18:27:00,-54
ohashi01,522,2022-07-30 18:27:03,-53
ohashi01,525,2022-07-30 18:27:06,-54
ohashi01,528,2022-07-30 18:27:09,-62
ohashi01,531,2022-07-30 18:27:12,-62
ohashi01,534,2022-07-30 18:27:15,-62
ohashi01,537,2022-07-30 18:27:18,-54
ohashi01,540,2022-07-30 18:27:21,-54
ohashi01,543,2022-07-30 18:27:24,-63
ohashi01,546,2022-07-30 18:27:27,-63
ohashi01,549,2022-07-30 18:27:30,-64
ohashi01,552,2022-07-30 18:27:33,-53
ohashi01,555,2022-07-30 18:27:36,-53
ohashi01,561,2022-07-30 18:27:42,-54
ohashi01,564,2022-07-30 18:27:45,-53
ohashi01,567,2022-07-30 18:27:48,-54
ohashi01,573,2022-07-30 18:27:54,-52
ohashi01,579,2022-07-30 18:28:00,-53
ohashi01,582,2022-07-30 18:28:03,-64
ohashi01,588,2022-07-30 18:28:09,-52
ohashi01,591,2022-07-30 18:28:12,-53
ohashi01,594,2022-07-30 18:28:15,-54
ohashi01,597,2022-07-30 18:28:18,-53
ohashi01,600,2022-07-30 18:28:21,-54
ohashi01,603,2022-07-30 18:28:24,-55
ohashi01,606,2022-07-30 18:28:27,-64
ohashi01,609,2022-07-30 18:28:30,-63
ohashi01,612,2022-07-30 18:28:33,-65
ohashi01,615,2022-07-30 18:28:36,-52
ohashi01,621,2022-07-30 18:28:42,-55
ohashi01,624,2022-07-30 18:28:45,-65
ohashi01,633,2022-07-30 18:28:54,-53
ohashi01,636,2022-07-30 18:28:57,-53
ohashi01,639,2022-07-30 18:29:00,-54
