2022-05-13 21:41:33,,金曜日,21:40,"['phone', 'wallet', 'bag']"
2022-05-15 14:11:21,,日曜日,14:10,"phone,wallet"
2022-05-16 13:51:51,,月曜日,13:50,"phone,wallet"
2022-05-16 18:55:12,,月曜日,18:50,"phone,wallet"
2022-05-17 21:39:51,,火曜日,21:30,"['phone', 'wallet', 'bag']"
2022-05-18 12:25:48,,水曜日,12:20,"phone,wallet"
2022-05-18 19:36:00,,水曜日,19:30,"['phone', 'wallet', 'bag']"
2022-05-19 12:08:57,,木曜日,12:00,"phone,wallet"
2022-05-19 14:30:27,2022-05-19 14:30:39,木曜日,14:30,['wallet']
2022-05-19 14:36:18,2022-05-19 17:25:12,木曜日,14:30,"['phone', 'wallet', 'bag']"
2022-05-19 17:27:57,2022-05-19 19:31:12,木曜日,17:20,"['phone', 'wallet']"
2022-05-19 14:32:57,2022-05-19 14:35:45,木曜日,14:30,"['wallet', 'phone']"
2022-05-19 14:32:39,2022-05-19 14:35:39,木曜日,14:30,"['phone', 'wallet']"
2022-05-19 17:27:57,2022-05-19 17:27:30,木曜日,17:20,"['phone', 'phone', 'wallet']"
2022-05-19 19:07:00,2022-05-19 19:07:00,木曜日,19:00,['bag']
2022-05-19 21:45:12,2022-05-20 01:30:45,木曜日,21:40,"['wallet', 'bag', 'phone']"
2022-05-20 12:58:18,2022-05-20 17:25:12,金曜日,12:50,"['phone', 'wallet']"
2022-05-20 21:41:33,2022-05-21 02:17:06,金曜日,21:40,"['phone', 'wallet', 'bag']"
2022-05-21 21:33:27,2022-05-22 02:19:09,土曜日,21:30,"['phone', 'wallet', 'bag']"
2022-05-22 14:51:21,2022-05-22 17:29:42,日曜日,14:50,"['phone', 'wallet']"
2022-05-22 21:41:18,2022-05-23 02:05:45,日曜日,21:40,"['phone', 'wallet', 'bag']"
2022-05-23 12:04:23,2022-05-19 21:44:00,月曜日,18:00,"['phone', 'wallet']"
2022-05-24 08:37:33,2022-05-24 17:34:51,火曜日,08:30,"['wallet', 'phone']"
2022-05-24 21:41:48,2022-05-25 02:11:27,火曜日,21:40,"['wallet', 'bag', 'phone']"
2022-05-25 21:43:00,2022-05-26 01:56:21,水曜日,21:40,"['wallet', 'bag', 'phone']"
2022-05-26 12:04:24,2022-05-26 17:54:57,木曜日,12:00,"['wallet', 'phone']"
2022-05-26 19:02:48,2022-05-26 21:50:27,木曜日,19:00,"['wallet', 'phone']"
2022-05-27 12:58:15,2022-05-27 18:13:24,金曜日,12:50,"['phone', 'wallet']"
